OD,Group
0.986,C11(C4)
0.9863,C11(C4)
1.0271,C11(C4)
0.9739,C11(C4)
1.0232,C11(C4)
1.0309,C11(C4)
1.1234,Q4
1.0866,Q4
1.0797,Q4
1.0371,Q4
1.0524,Q4
1.1157,Q4
0.889,H1
0.8986,H1
0.8944,H1
0.8705,H1
0.9174,H1
0.9185,H1
1.0742,CQ1-3
1.0786,CQ1-3
1.1055,CQ1-3
1.0985,CQ1-3
1.038,CQ1-3
1.0971,CQ1-3
1.1272,CH1-3
1.1209,CH1-3
1.0655,CH1-3
1.0416,CH1-3
1.0734,CH1-3
1.1239,CH1-3
1.0559,CH2-3
1.0789,CH2-3
1.0434,CH2-3
1.0444,CH2-3
1.061,CH2-3
1.079,CH2-3
1.1684,CQ1.1-3
1.1462,CQ1.1-3
1.153,CQ1.1-3
1.1456,CQ1.1-3
1.1183,CQ1.1-3
1.2034,CQ1.1-3
1.1522,CH1.1-3
1.0479,CH1.1-3
1.1004,CH1.1-3
1.0566,CH1.1-3
1.064,CH1.1-3
1.1995,CH1.1-3
