"Value","Group"
350,"C"
326,"C"
163,"C"
421,"C"
336,"C"
86,"C"
78,"C"
323,"C"
123,"Q"
305,"Q"
335,"Q"
439,"Q"
416,"Q"
404,"Q"
489,"Q"
71,"Q"
219,"H"
271,"H"
406,"H"
428,"H"
289,"H"
418,"H"
261,"H"
93,"H"
241,"CQ1"
271,"CQ1"
383,"CQ1"
164,"CQ1"
281,"CQ1"
376,"CQ1"
241,"CQ1"
60,"CQ1"
36,"CH1"
121,"CH1"
251,"CH1"
286,"CH1"
205,"CH1"
225,"CH1"
405,"CH1"
156,"CH1"
2,"CQ2"
6,"CQ2"
69,"CQ2"
53,"CQ2"
87,"CQ2"
53,"CQ2"
88,"CQ2"
274,"CQ2"
287,"CH2"
59,"CH2"
171,"CH2"
382,"CH2"
175,"CH2"
316,"CH2"
495,"CH2"
650,"CH2"
269,"CQ3"
84,"CQ3"
222,"CQ3"
226,"CQ3"
174,"CQ3"
255,"CQ3"
155,"CQ3"
377,"CQ3"
306,"CH3"
296,"CH3"
389,"CH3"
286,"CH3"
271,"CH3"
240,"CH3"
184,"CH3"
83,"CH3"
41,"Blank"
134,"Blank"
97,"Blank"
211,"Blank"
143,"Blank"
144,"Blank"
195,"Blank"
47,"Blank"
