"","Protein","1","2","Score","Adjusted_score"
"1","C",72,2083,-0.305949765611019,1
"2","Q",157,2582,1.43162203790986,2.73757180352088
"3","H",122,2385,0.723306511346533,2.02925627695755
"4","CQ1",77,2017,-0.284285529229827,1.02166423638119
"5","CH1",86,1685,-0.425382716927308,0.880567048683711
"6","CQ2",92,632,-1.22196715990316,0.083982605707859
"7","CH2",50,2535,-0.264766783687916,1.0411829819231
"8","CQ3",101,1762,-0.128093930741062,1.17785583486996
"9","CH3",124,2055,0.475517336843902,1.78146710245492
